iter	Passed	Remaining
0	7	22931
1	15	23827
2	23	23232
3	32	24258
4	40	24358
5	49	24694
6	56	24226
7	64	24073
8	71	23792
9	79	23622
10	86	23415
11	93	23237
12	100	23092
13	107	22938
14	114	22861
15	122	22809
16	130	22865
17	137	22803
18	146	22914
19	153	22811
20	161	22871
21	168	22781
22	175	22698
23	182	22642
24	189	22568
25	199	22856
26	206	22777
27	214	22789
28	222	22792
29	229	22755
30	239	22905
31	246	22847
32	254	22866
33	263	22974
34	270	22948
35	279	23023
36	286	22968
37	294	22937
38	303	23028
39	311	23044
40	319	23033
41	327	23056
42	335	23041
43	343	23094
44	351	23111
45	360	23161
46	368	23134
47	375	23100
48	383	23097
49	391	23083
50	399	23107
51	407	23116
52	419	23299
53	427	23296
54	437	23427
55	445	23424
56	455	23495
57	463	23500
58	472	23570
59	481	23602
60	493	23754
61	503	23837
62	510	23822
63	521	23918
64	529	23896
65	538	23920
66	546	23933
67	555	23972
68	564	23981
69	572	23956
70	581	23995
71	589	23962
72	598	24012
73	608	24043
74	618	24105
75	625	24073
76	634	24095
77	642	24065
78	653	24163
79	661	24144
80	668	24107
81	677	24116
82	686	24113
83	697	24206
84	708	24303
85	716	24281
86	726	24335
87	735	24345
88	744	24336
89	751	24305
90	762	24367
91	771	24380
92	779	24380
93	787	24331
94	795	24329
95	803	24304
96	811	24295
97	819	24281
98	827	24251
99	835	24227
100	845	24261
101	853	24241
102	862	24249
103	870	24242
104	878	24230
105	886	24214
106	896	24230
107	904	24226
108	912	24189
109	920	24191
110	928	24172
111	937	24170
112	945	24152
113	953	24148
114	961	24120
115	969	24112
116	978	24104
117	987	24126
118	995	24093
119	1003	24091
120	1010	24050
121	1018	24020
122	1025	23982
123	1032	23941
124	1040	23928
125	1049	23948
126	1056	23910
127	1063	23871
128	1071	23848
129	1079	23824
130	1087	23824
131	1094	23791
132	1103	23788
133	1110	23758
134	1118	23746
135	1126	23719
136	1134	23709
137	1141	23679
138	1150	23686
139	1159	23677
140	1167	23671
141	1174	23646
142	1183	23647
143	1191	23630
144	1199	23616
145	1206	23585
146	1213	23552
147	1220	23520
148	1227	23488
149	1234	23455
150	1242	23451
151	1250	23435
152	1257	23406
153	1266	23398
154	1272	23364
155	1281	23357
156	1288	23338
157	1297	23333
158	1304	23307
159	1312	23298
160	1320	23276
161	1327	23261
162	1335	23235
163	1342	23223
164	1350	23207
165	1358	23195
166	1365	23167
167	1373	23154
168	1380	23125
169	1387	23098
170	1398	23130
171	1406	23117
172	1412	23088
173	1419	23061
174	1428	23052
175	1435	23029
176	1442	23013
177	1452	23023
178	1459	22996
179	1466	22971
180	1473	22954
181	1480	22925
182	1490	22950
183	1498	22931
184	1507	22932
185	1514	22909
186	1523	22914
187	1530	22898
188	1539	22892
189	1546	22875
190	1554	22863
191	1562	22844
192	1570	22843
193	1578	22837
194	1586	22827
195	1593	22802
196	1602	22797
197	1608	22769
198	1615	22742
199	1622	22720
200	1630	22702
201	1637	22676
202	1644	22660
203	1654	22673
204	1662	22662
205	1670	22652
206	1677	22635
207	1685	22628
208	1694	22630
209	1701	22610
210	1713	22652
211	1720	22630
212	1728	22616
213	1735	22597
214	1744	22603
215	1752	22585
216	1759	22567
217	1766	22545
218	1775	22545
219	1783	22535
220	1790	22515
221	1798	22499
222	1805	22479
223	1813	22471
224	1820	22453
225	1827	22431
226	1834	22410
227	1842	22403
228	1849	22382
229	1859	22396
230	1867	22380
231	1876	22385
232	1884	22373
233	1887	22305
234	1891	22256
235	1899	22243
